difficulty,proficiency_group,first_error_type,n_pairs,avg_attempts_to_ac,resolution_rate,abandon_rate
A,G1,CE,4647,3.8,83.88,16.12
A,G1,Other,2,3.0,50.0,50.0
A,G1,RE,1932,3.75,77.48,22.52
A,G1,TLE,27,3.38,77.78,22.22
A,G1,WA,6963,3.21,79.06,20.94
A,G2,CE,7890,3.47,87.28,12.72
A,G2,Other,4,4.67,75.0,25.0
A,G2,RE,4743,3.31,79.42,20.58
A,G2,TLE,119,3.45,73.95,26.05
A,G2,WA,15959,2.94,84.1,15.9
A,G3,CE,11401,3.09,91.85,8.15
A,G3,Other,12,3.75,100.0,0.0
A,G3,RE,8836,3.01,82.1,17.9
A,G3,TLE,228,3.02,83.33,16.67
A,G3,WA,29151,2.75,89.76,10.24
A,G4,CE,15760,2.8,95.27,4.73
A,G4,Other,16,2.87,93.75,6.25
A,G4,RE,10722,2.73,84.88,15.12
A,G4,TLE,256,2.75,81.25,18.75
A,G4,WA,39237,2.54,93.53,6.47
A,G5,CE,12109,2.61,97.44,2.56
A,G5,Other,10,2.89,90.0,10.0
A,G5,RE,7827,2.55,89.06,10.94
A,G5,TLE,149,2.52,79.87,20.13
A,G5,WA,29546,2.41,95.83,4.17
A,G6,CE,14725,2.48,98.1,1.9
A,G6,Other,14,2.69,92.86,7.14
A,G6,RE,6795,2.5,92.04,7.96
A,G6,TLE,151,2.55,82.12,17.88
A,G6,WA,29038,2.32,96.25,3.75
B,G1,CE,647,,0.0,100.0
B,G1,RE,537,,0.0,100.0
B,G1,TLE,98,,0.0,100.0
B,G1,WA,1783,,0.0,100.0
B,G2,CE,4030,4.3,76.63,23.37
B,G2,Other,7,7.0,71.43,28.57
B,G2,RE,3549,3.82,74.36,25.64
B,G2,TLE,812,3.45,65.89,34.11
B,G2,WA,13441,3.29,73.54,26.46
B,G3,CE,6937,3.98,81.4,18.6
B,G3,Other,31,2.75,90.32,9.68
B,G3,RE,8735,3.56,80.11,19.89
B,G3,TLE,3025,3.5,75.67,24.33
B,G3,WA,39503,3.2,81.0,19.0
B,G4,CE,10096,3.52,90.43,9.57
B,G4,Other,43,2.61,88.37,11.63
B,G4,RE,12041,3.29,89.52,10.48
B,G4,TLE,4630,3.33,88.4,11.6
B,G4,WA,66262,3.05,90.13,9.87
B,G5,CE,7751,3.33,95.39,4.61
B,G5,Other,24,2.5,100.0,0.0
B,G5,RE,9060,3.09,95.09,4.91
B,G5,TLE,3391,3.16,94.78,5.22
B,G5,WA,55355,2.9,94.8,5.2
B,G6,CE,9760,2.98,97.75,2.25
B,G6,Other,31,2.6,96.77,3.23
B,G6,RE,7426,2.85,97.6,2.4
B,G6,TLE,2251,2.93,97.73,2.27
B,G6,WA,53815,2.7,97.42,2.58
C,G1,CE,121,,0.0,100.0
C,G1,Other,1,,0.0,100.0
C,G1,RE,166,,0.0,100.0
C,G1,TLE,85,,0.0,100.0
C,G1,WA,484,,0.0,100.0
C,G2,CE,620,,0.0,100.0
C,G2,Other,5,,0.0,100.0
C,G2,RE,1152,,0.0,100.0
C,G2,TLE,1294,,0.0,100.0
C,G2,WA,4133,,0.0,100.0
C,G3,CE,3250,4.45,70.09,29.91
C,G3,Other,47,4.18,70.21,29.79
C,G3,RE,6872,4.21,61.12,38.88
C,G3,TLE,9081,3.58,58.15,41.85
C,G3,WA,28359,3.74,63.8,36.2
C,G4,CE,6331,3.86,81.14,18.86
C,G4,Other,95,3.39,86.32,13.68
C,G4,RE,14377,3.91,74.83,25.17
C,G4,TLE,21301,3.45,75.93,24.07
C,G4,WA,72665,3.55,78.18,21.82
C,G5,CE,5432,3.6,90.04,9.96
C,G5,Other,69,3.15,88.41,11.59
C,G5,RE,13662,3.74,87.72,12.28
C,G5,TLE,17934,3.37,87.19,12.81
C,G5,WA,76903,3.44,88.18,11.82
C,G6,CE,7328,3.33,95.25,4.75
C,G6,Other,125,3.32,92.8,7.2
C,G6,RE,13109,3.49,94.9,5.1
C,G6,TLE,12671,3.34,93.8,6.2
C,G6,WA,85132,3.2,94.95,5.05
D,G1,CE,34,,0.0,100.0
D,G1,Other,1,,0.0,100.0
D,G1,RE,33,,0.0,100.0
D,G1,TLE,33,,0.0,100.0
D,G1,WA,84,,0.0,100.0
D,G2,CE,152,,0.0,100.0
D,G2,Other,4,,0.0,100.0
D,G2,RE,271,,0.0,100.0
D,G2,TLE,527,,0.0,100.0
D,G2,WA,797,,0.0,100.0
D,G3,CE,524,,0.0,100.0
D,G3,Other,11,,0.0,100.0
D,G3,RE,1966,,0.0,100.0
D,G3,TLE,4380,,0.0,100.0
D,G3,WA,4701,,0.0,100.0
D,G4,CE,2977,4.25,67.55,32.45
D,G4,Other,74,3.88,66.22,33.78
D,G4,RE,9763,4.48,50.78,49.22
D,G4,TLE,19639,4.19,49.65,50.35
D,G4,WA,31703,3.72,62.24,37.76
D,G5,CE,3210,3.92,75.89,24.11
D,G5,Other,65,2.94,72.31,27.69
D,G5,RE,12809,4.2,67.04,32.96
D,G5,TLE,25553,4.05,68.41,31.59
D,G5,WA,44737,3.64,75.8,24.2
D,G6,CE,6136,3.61,90.99,9.01
D,G6,Other,225,3.36,91.56,8.44
D,G6,RE,18692,3.97,88.04,11.96
D,G6,TLE,27267,3.78,87.53,12.47
D,G6,WA,85477,3.49,90.34,9.66
E,G1,CE,15,,0.0,100.0
E,G1,RE,17,,0.0,100.0
E,G1,TLE,15,,0.0,100.0
E,G1,WA,25,,0.0,100.0
E,G2,CE,41,,0.0,100.0
E,G2,RE,64,,0.0,100.0
E,G2,TLE,114,,0.0,100.0
E,G2,WA,200,,0.0,100.0
E,G3,CE,99,,0.0,100.0
E,G3,Other,1,,0.0,100.0
E,G3,RE,368,,0.0,100.0
E,G3,TLE,578,,0.0,100.0
E,G3,WA,801,,0.0,100.0
E,G4,CE,244,,0.0,100.0
E,G4,Other,3,,0.0,100.0
E,G4,RE,1016,,0.0,100.0
E,G4,TLE,1952,,0.0,100.0
E,G4,WA,3027,,0.0,100.0
E,G5,CE,934,4.5,65.2,34.8
E,G5,Other,10,2.86,70.0,30.0
E,G5,RE,4291,4.83,57.89,42.11
E,G5,TLE,6350,4.11,53.97,46.03
E,G5,WA,14059,3.94,59.18,40.82
E,G6,CE,2592,3.8,84.07,15.93
E,G6,Other,50,3.91,92.0,8.0
E,G6,RE,10254,4.36,82.65,17.35
E,G6,TLE,13369,4.17,81.42,18.58
E,G6,WA,45454,3.89,82.92,17.08
F,G1,CE,8,,0.0,100.0
F,G1,RE,8,,0.0,100.0
F,G1,TLE,7,,0.0,100.0
F,G1,WA,17,,0.0,100.0
F,G2,CE,22,,0.0,100.0
F,G2,RE,29,,0.0,100.0
F,G2,TLE,47,,0.0,100.0
F,G2,WA,65,,0.0,100.0
F,G3,CE,31,,0.0,100.0
F,G3,RE,69,,0.0,100.0
F,G3,TLE,111,,0.0,100.0
F,G3,WA,233,,0.0,100.0
F,G4,CE,65,,0.0,100.0
F,G4,Other,1,,0.0,100.0
F,G4,RE,207,,0.0,100.0
F,G4,TLE,328,,0.0,100.0
F,G4,WA,777,,0.0,100.0
F,G5,CE,153,,0.0,100.0
F,G5,Other,3,,0.0,100.0
F,G5,RE,536,,0.0,100.0
F,G5,TLE,806,,0.0,100.0
F,G5,WA,2195,,0.0,100.0
F,G6,CE,1824,4.22,78.67,21.33
F,G6,Other,30,3.5,86.67,13.33
F,G6,RE,6563,4.27,79.09,20.91
F,G6,TLE,6946,4.15,75.18,24.82
F,G6,WA,28718,4.03,76.63,23.37
